日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),價格增減%,交易量(公斤),增減%
114/11/01,104 台北二  ,11 椰子  ,24.2,19.2,14.5,19.3,16,627,14
114/11/01,104 台北二  ,129 椰子 剝殼進口 ,61.7,40.1,31.4,42.6,7,914,357
114/11/01,104 台北二  ,31 釋迦  ,144.8,91.4,62.7,96.4,-9,489,519
114/11/01,104 台北二  ,459 草莓 進口 ,177.8,177.8,177.8,177.8,33,30,-75
114/11/01,104 台北二  ,469 藍莓 進口 ,166.7,140.6,133.3,144.4,29,"2,300",28
114/11/01,104 台北二  ,50 百香果 其他 ,150,101.5,59.6,102.8,9,973,-13
114/11/01,104 台北二  ,51 百香果 改良種 ,105.3,75.9,54.8,77.6,3,"8,266",-4
114/11/01,104 台北二  ,70 小番茄 其他 ,150,150,150,150,13,6,-82
114/11/01,104 台北二  ,72 小番茄 聖女 ,163.3,102.6,61.5,106.5,-23,"1,635",-11
114/11/01,104 台北二  ,74 小番茄 玉女 ,391.1,347.2,228.5,332.2,14,376,-9
114/11/01,104 台北二  ,811 紅龍果 白肉 ,84.4,60.2,36.2,60.3,7,"1,906",-8
114/11/01,104 台北二  ,812 紅龍果 紅肉 ,76.1,59.6,36.6,58.3,13,"11,310",24
114/11/01,104 台北二  ,813 紅龍果 雙色紅龍果 ,171.8,125.7,96.4,129.1,31,198,-8
114/11/01,104 台北二  ,839 櫻桃 進口 ,652.6,430.2,373.3,463.3,16,159,-32
114/11/01,104 台北二  ,87 紅毛丹  ,150,150,150,150,-17,8,-33
114/11/01,104 台北二  ,91 其他  ,638.2,210.8,15.6,257.2,757,85,431
114/11/01,104 台北二  ,919 其他 進口 ,216.7,204.6,192.4,204.6,-8,220,4
114/11/01,104 台北二  ,A0 香蕉 其他 ,22,10.5,4.5,11.6,45,59,-58
114/11/01,104 台北二  ,A1 香蕉  ,39.6,28.6,19.8,29,23,"8,778",-35
114/11/01,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,65.6,44.6,20.4,43.9,6,"1,601",-19
114/11/01,104 台北二  ,A3 香蕉 旦蕉 ,66.6,54.2,40,53.8,0,86,  -  
114/11/01,104 台北二  ,A4 香蕉 越旦 ,31.9,25,21.5,25.6,-16,425,13
114/11/01,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,42.8,32,18.3,31.4,3,"4,470",-12
114/11/01,104 台北二  ,B8 鳳梨 西瓜鳳梨 ,22,14.8,12,15.7,6,189,125
114/11/01,104 台北二  ,C1 椪柑  ,89.4,58.7,30.2,59.1,-7,"15,472",35
114/11/01,104 台北二  ,C6 佛利蒙柑  ,52,43.6,29,42.4,1,"3,237",-25
114/11/01,104 台北二  ,C8 珍珠柑  ,35,30.4,30,31.2,0,120,  -  
114/11/01,104 台北二  ,C9 柑橘 進口 ,173.4,41.1,36.8,66.7,4,"1,452",-37
114/11/01,104 台北二  ,E0 甜橙 其他 ,35,32.5,27,31.9,7,135,29
114/11/01,104 台北二  ,E1 甜橙 柳橙 ,48.9,32.9,21.1,33.8,16,"1,859",-11
114/11/01,104 台北二  ,E9 甜橙 進口 ,32.4,25.3,22,26.1,-1,"5,733",74
114/11/01,104 台北二  ,F1 雜柑 檸檬 ,66.7,58.2,39.4,56.1,15,514,-24
114/11/01,104 台北二  ,F4 雜柑 桔子 ,76.7,51.1,33.1,52.6,35,156,-48
114/11/01,104 台北二  ,F5 雜柑 無子檸檬 ,142.9,86.6,56.3,91.8,21,"1,078",-46
114/11/01,104 台北二  ,F6 雜柑 黃金檸檬 ,50,46.3,45,46.8,14,50,-50
114/11/01,104 台北二  ,G2 黃金果  ,117.8,71.2,27.2,71.7,9,667,-21
114/11/01,104 台北二  ,G3 酪梨  ,118,89.8,64.9,90.5,-7,"3,263",6
114/11/01,104 台北二  ,G39 酪梨 進口 ,106.7,106.7,106.7,106.7,0,75,-25
114/11/01,104 台北二  ,G4 奇異果  ,110,100.2,79,98,18,93,-66
114/11/01,104 台北二  ,G49 奇異果 進口 ,129.5,98.8,59.4,97.1,-10,"2,191",-66
114/11/01,104 台北二  ,G7 橄欖  ,35,33.3,32,33.4,26,35,-67
114/11/01,104 台北二  ,G8 栗子  ,75,72.3,65,71.4,1,250,9
114/11/01,104 台北二  ,G91 榴槤蜜  ,50,50,50,50,45,11,-91
114/11/01,104 台北二  ,H2 柚子 白柚 ,38,28.1,12,26.9,26,210,-9
114/11/01,104 台北二  ,H6 柚子 西施柚 ,45.1,24.9,13.2,26.6,-22,800,433
114/11/01,104 台北二  ,I1 木瓜 網室紅肉 ,71.2,57.4,42.5,57.2,8,"11,670",-11
114/11/01,104 台北二  ,I2 木瓜 一般紅肉 ,28,28,28,28,0,11,  -  
114/11/01,104 台北二  ,I3 木瓜 日昇種 ,184,88.7,47,99.4,-11,834,48
114/11/01,104 台北二  ,I4 木瓜 青木瓜 ,42.7,24.6,6,24.5,-14,906,23
114/11/01,104 台北二  ,K2 龍眼 十月眼 ,140,104.6,53.6,101.4,-1,342,-6
114/11/01,104 台北二  ,K4 龍眼 龍眼乾帶殼 ,130.8,101.3,91.4,105.2,-29,325,120
114/11/01,104 台北二  ,M3 楊桃 馬來亞種 ,61.2,52.9,48.5,53.7,3,306,29
114/11/01,104 台北二  ,O10 梨 寶島甘露梨 ,100.1,73.5,32.2,70.6,-4,"15,689",-3
114/11/01,104 台北二  ,O4 梨 新興梨 ,75,67.5,45.9,64.7,7,327,-53
114/11/01,104 台北二  ,O9 梨 其他進口 ,173.8,60.1,53.3,81.5,-50,"2,480",265
114/11/01,104 台北二  ,P1 番石榴 珍珠芭 ,133.4,80.4,50.1,84.9,5,"12,577",-3
114/11/01,104 台北二  ,P2 番石榴 紅心 ,72.7,59,27.6,55.5,-26,"1,215",323
114/11/01,104 台北二  ,P3 番石榴 帝王芭 ,166.3,116.6,66.5,116.6,5,"1,347",17
114/11/01,104 台北二  ,Q1 蓮霧 紅蓮霧 ,341.9,225.7,105.8,225,-1,503,10
114/11/01,104 台北二  ,Q2 蓮霧 子彈型 ,154.2,140.4,103.7,135.8,-19,525,209
114/11/01,104 台北二  ,Q5 蓮霧 黑糖芭比 ,516.9,407.6,202.5,388.4,31,180,35
114/11/01,104 台北二  ,R0 芒果 其他 ,150,111.1,100,116.7,0,24,  -  
114/11/01,104 台北二  ,R8 芒果 芒果青 ,120,79.9,35,78.9,-38,122,3
